_ - congress,_ - introducedDate,_ - type,_ - url,_ - amendmentNumber,_ - number,_ - title,_ - latestAction,_ - latestAction - actionDate,_ - latestAction - text,_ - latestAction - actionTime,_ - policyArea - name
104,1996-01-23,S,https://api.congress.gov/v3/bill/104/s/1521?format=json,,1521,"A bill to establish the Nicodemus National Historic Site in Kansas, and for other purposes.",,1996-01-24,"Referred to Subcommittee on Parks, Preservation and Recreation.",,Public Lands and Natural Resources
104,1996-02-01,S,https://api.congress.gov/v3/bill/104/s/1555?format=json,,1555,A bill to guarantee the timely payment of social security benefits in March 1996.,,1996-02-01,Indefinitely postponed by Senate by Unanimous Consent. (consideration: CR S726),,Economics and Public Finance
104,1995-12-22,S,https://api.congress.gov/v3/bill/104/s/1508?format=json,,1508,A bill to assure that all federal employees work and are paid.,,1996-01-03,Message on Senate action sent to the House.,,Government Operations and Politics
104,1996-01-22,S,https://api.congress.gov/v3/bill/104/s/1519?format=json,,1519,Prohibition on United Nations Taxation Act of 1996,,1996-01-22,Read twice and referred to the Committee on Foreign Relations.,,International Affairs
104,1995-11-30,S,https://api.congress.gov/v3/bill/104/s/1438?format=json,,1438,WTO Dispute Settlement Review Commission Act,,1995-12-04,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 253.,,Foreign Trade and International Finance
104,1995-11-01,S,https://api.congress.gov/v3/bill/104/s/1373?format=json,,1373,Agricultural Resources Enhancement Act of 1995,,1995-11-01,Read twice and referred to the Committee on Agriculture.,,Agriculture and Food
104,1995-11-02,S,https://api.congress.gov/v3/bill/104/s/1382?format=json,,1382,A bill to extend the Middle East Peace Facilitation Act.,,1996-10-04,Referred to the House Committee on International Relations.,,International Affairs
104,1995-10-17,S,https://api.congress.gov/v3/bill/104/s/1329?format=json,,1329,Servicepersons Readjustment Act of 1995,,1995-10-17,Read twice and referred to the Committee on Armed Services.,,Economics and Public Finance
104,1995-10-13,S,https://api.congress.gov/v3/bill/104/s/1322?format=json,,1322,Jerusalem Embassy Act of 1995,,1995-11-08,Became Public Law No: 104-45.,,International Affairs
104,1995-10-13,S,https://api.congress.gov/v3/bill/104/s/1323?format=json,,1323,Jerusalem Embassy Relocation Implementation Act of 1995,,1995-10-13,Read twice and referred to the Committee on Foreign Relations.,,International Affairs
104,1995-10-12,S,https://api.congress.gov/v3/bill/104/s/1315?format=json,,1315,"A bill to designate the Federal Triangle Project under construction at 14th Street and Pennsylvania Avenue, Northwest, in the District of Columbia, as the ""Ronald Reagan Building and International Trade Center"".",,1995-12-21,See also H.R. 2481.,,Government Operations and Politics
104,1995-09-27,S,https://api.congress.gov/v3/bill/104/s/1279?format=json,,1279,Prison Litigation Reform Act of 1995,,1995-09-27,Read twice and referred to the Committee on Judiciary.,,Crime and Law Enforcement
104,1995-07-27,S,https://api.congress.gov/v3/bill/104/s/1085?format=json,,1085,Equal Opportunity Act of 1995,,1996-04-30,Committee on Labor and Human Resources. Hearings held. Hearings printed: S.Hrg. 104-470.,,"Civil Rights and Liberties, Minority Issues"
104,1995-07-28,S,https://api.congress.gov/v3/bill/104/s/1086?format=json,,1086,American Family-Owned Business Act,,1995-07-28,Read twice and referred to the Committee on Finance.,,Taxation
104,1995-08-03,S,https://api.congress.gov/v3/bill/104/s/1120?format=json,,1120,Work Opportunity Act of 1995,,1995-08-03,Read twice and referred to the Committee on Finance.,,Social Welfare
104,1995-06-29,S,https://api.congress.gov/v3/bill/104/s/990?format=json,,990,PACE Provider Act of 1995,,1995-06-29,Read twice and referred to the Committee on Finance.,,Health
104,1995-05-25,S,https://api.congress.gov/v3/bill/104/s/866?format=json,,866,Prison Litigation Reform Act of 1995,,1995-07-27,Committee on Judiciary. Hearings held. Hearings printed: S.Hrg. 104-573.,,Crime and Law Enforcement
104,1995-05-09,S,https://api.congress.gov/v3/bill/104/s/770?format=json,,770,Jerusalem Embassy Relocation Implementation Act of 1995,,1995-05-10,Referred to the Committee on Foreign Relations.,,International Affairs
104,1995-04-27,S,https://api.congress.gov/v3/bill/104/s/735?format=json,,735,Antiterrorism and Effective Death Penalty Act of 1996,,1996-04-24,Became Public Law No: 104-132.,,Crime and Law Enforcement
104,1995-03-23,S,https://api.congress.gov/v3/bill/104/s/605?format=json,,605,Omnibus Property Rights Act of 1995,,1996-03-11,By Senator Hatch from Committee on Judiciary filed written report. Report No. 104-239. Additional and minority and supplemental views filed.,,"Civil Rights and Liberties, Minority Issues"
104,1995-02-02,S,https://api.congress.gov/v3/bill/104/s/343?format=json,,343,Comprehensive Regulatory Reform Act of 1995,,1995-07-20,Third cloture on the substitute amendment (SP 1487) not invoked in Senate by Yea-Nay Vote. 58-40. Record Vote No: 315.,,Government Operations and Politics
104,1995-01-24,S,https://api.congress.gov/v3/bill/104/s/273?format=json,,273,"A bill to amend section 61h-6, of title 2, United States Code.",,1995-02-09,Became Public Law No: 104-2.,,Congress
104,1995-01-20,S,https://api.congress.gov/v3/bill/104/s/257?format=json,,257,A bill to amend the charter of the Veterans of Foreign Wars to make eligible for membership those veterans that have served within the territorial limits of South Korea.,,1995-03-07,Became Public Law No: 104-3.,,Government Operations and Politics
104,1995-01-26,S,https://api.congress.gov/v3/bill/104/s/290?format=json,,290,A bill relating to the treatment of Social Security under any constitutional amendment requiring a balanced budget.,,1995-01-30,Read the second time. Placed on Senate Legislative Calendar under General Orders. Calendar No. 19.,,Economics and Public Finance
104,1995-01-26,S,https://api.congress.gov/v3/bill/104/s/284?format=json,,284,"A bill to restore the term of patents, and for other purposes.",,1995-01-26,Read twice and referred to the Committee on Judiciary.,,Commerce
104,1995-01-20,S,https://api.congress.gov/v3/bill/104/s/256?format=json,,256,Missing Service Personnel Act of 1995,,1995-01-20,Read twice and referred to the Committee on Armed Services.,,Armed Forces and National Security
104,1995-01-13,S,https://api.congress.gov/v3/bill/104/s/230?format=json,,230,Humanitarian Aid Corridor Act,,1995-01-13,Read twice and referred to the Committee on Foreign Relations.,,International Affairs
104,1995-01-04,S,https://api.congress.gov/v3/bill/104/s/21?format=json,,21,Bosnia and Herzegovina Self-Defense Act of 1995,,1995-08-11,Vetoed by President.,,International Affairs
104,1995-01-04,S,https://api.congress.gov/v3/bill/104/s/5?format=json,,5,Peace Powers Act of 1995,,1995-03-21,Committee on Foreign Relations. Hearings held. Hearings printed: S.Hrg. 104-144.,,International Affairs
104,1995-01-04,S,https://api.congress.gov/v3/bill/104/s/22?format=json,,22,Private Property Rights Act of 1995,,1995-01-04,Read twice and referred to the Committee on Governmental Affairs.,,"Civil Rights and Liberties, Minority Issues"
104,1995-01-04,S,https://api.congress.gov/v3/bill/104/s/16?format=json,,16,WTO Dispute Settlement Review Commission Act,,1995-08-11,Sponsor introductory remarks on measure. (CR S12522),,Foreign Trade and International Finance
104,1995-01-04,SJRES,https://api.congress.gov/v3/bill/104/sjres/1?format=json,,1,A joint resolution proposing an amendment to the Constitution of the United States to require a balanced budget.,,1995-01-24,By Senator Hatch from Committee on Judiciary filed written report. Report No. 104-5. Additional and minority and supplemental views filed.,,Economics and Public Finance
